model,fold_kind,target,n_folds,mean_r2,lo_r2,hi_r2,n_test_total
climate predicts morphology,random,morph_pc1,5,0.5122895748567257,0.5083450713693215,0.515819564623322,237235
climate predicts morphology,random,morph_pc2,5,0.06160082267058316,0.058829111972102874,0.06554666200691421,237235
climate predicts morphology,random,morph_pc3,5,0.0008496890419415201,0.00039868025154469,0.0010572215668140299,237235
climate predicts morphology,region,morph_pc1,4,0.4737936025418827,0.43503261239299473,0.5306606643394525,237235
climate predicts morphology,region,morph_pc2,4,0.0555449220132642,0.01130988351493454,0.1034239365653363,237235
climate predicts morphology,region,morph_pc3,4,0.00018172464299889997,-0.0016176931374056425,0.0010523177282055775,237235
climate predicts morphology,year_block,morph_pc1,5,0.5109853058950978,0.47840607844172867,0.5551490402328202,237235
climate predicts morphology,year_block,morph_pc2,5,0.06017574208589692,0.04511299352022643,0.07458192822667777,237235
climate predicts morphology,year_block,morph_pc3,5,0.00047909486742448,-0.0010622259031414299,0.00125418266167301,237235
morphology predicts climate,random,max_vpd_kpa,5,0.07146635688249015,0.06915129924487758,0.07434645032083687,237235
morphology predicts climate,random,mean_maximum_temperature_c,5,0.00189417480634386,0.00135662098691919,0.00228863323815759,237235
morphology predicts climate,random,mean_minimum_temperature_c,5,0.00086946243725814,0.00043658184035719,0.0012195463041706199,237235
morphology predicts climate,random,mean_vpd_kpa,5,0.004371509631636241,0.00389350112291156,0.00499745295988247,237235
morphology predicts climate,random,mean_wind_speed_m_s,5,0.00059104676399812,0.00046376071001923,0.00087342330237195,237235
morphology predicts climate,random,wind_present_fraction,0,,,,237235
morphology predicts climate,region,max_vpd_kpa,4,-0.16866972772976466,-0.6480383450704826,0.027663688719951958,237235
morphology predicts climate,region,mean_maximum_temperature_c,4,-0.0289526029192109,-0.04322778442093865,-0.011226154844108572,237235
morphology predicts climate,region,mean_minimum_temperature_c,4,-0.1289718206729544,-0.26616477393176347,-0.0500091847230568,237235
morphology predicts climate,region,mean_vpd_kpa,4,-0.20072765622015404,-0.5940671713558207,-0.03424847771071339,237235
morphology predicts climate,region,mean_wind_speed_m_s,4,-0.13804848848989873,-0.2994944993953069,-0.009698753971497423,237235
morphology predicts climate,region,wind_present_fraction,0,,,,237235
morphology predicts climate,year_block,max_vpd_kpa,5,0.04700337059273732,-0.0218743611292024,0.09999240751461504,237235
morphology predicts climate,year_block,mean_maximum_temperature_c,5,-0.01667384295206534,-0.04004500343300772,0.0012826663617650099,237235
morphology predicts climate,year_block,mean_minimum_temperature_c,5,-0.00738662892702832,-0.017631412834244242,0.00017171999899634,237235
morphology predicts climate,year_block,mean_vpd_kpa,5,-0.025110859440001042,-0.08430518337375478,0.00194895126374338,237235
morphology predicts climate,year_block,mean_wind_speed_m_s,5,-0.0004491459894224497,-0.0028694984047333604,0.0008041001686912599,237235
morphology predicts climate,year_block,wind_present_fraction,0,,,,237235
