null_model,replicate,preserves,destroys,pc1,cumvar_pc1_5,participation_ratio,dimension_for_95pct_variance,observed_nn_median,synthetic_nn_median,observed_to_synthetic_median,synthetic_to_observed_median,observed_logdet_cov_pc1_5,synthetic_logdet_cov_pc1_5
observed,-1,real FIRED growth histories,nothing,0.8120926755307462,0.9631834178483318,1.5001868564027856,5,0.0,0.0,0.0,0.0,5.407702702195611,5.407702702195611
independent feature permutation,0,marginal distribution of each engineered feature,all covariance and developmental ordering,0.3378245602002693,0.42476129011586194,7.868561513734681,33,0.0,0.3934623276782301,1.6049834895889339,3.085379924304193,5.407702702195611,-0.005672682792546758
shuffled daily growth order within fire,0,"final area, duration, observed daily increments",temporal order of each fire's observed growth increments,0.809784922612345,0.9495724575294813,1.5107995074348932,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,5.733169232606301
dirichlet duration and final area,0,final area and observation count; monotonic cumulative growth,empirical pulse/timing structure and daily-growth marginal distribution,0.7815216342081099,0.9442984584273841,1.611437182520694,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,6.385988260243617
zero-preserving dirichlet,0,"final area, observation count, and number of zero-growth days",empirical timing and increment sizes beyond zero frequency,0.7787776201345139,0.9431892014965019,1.6219737652599564,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,6.460740151632873
duration-bin empirical increments,0,duration-bin empirical daily-growth profiles and final area,fire-specific growth order and cross-feature pairing,0.8072268071255788,0.9470545203086518,1.5192261860116447,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,4.537491905123964
duration-bin mean profile,0,duration-bin average growth profile with weak noise,fire-specific pulse heterogeneity,0.855875770411164,0.9680945709109594,1.3572931865757405,4,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,2.5023298484758225
independent feature permutation,1,marginal distribution of each engineered feature,all covariance and developmental ordering,0.337537561503419,0.42405487721820306,7.879988035209419,33,0.0,0.39205411016573743,1.3435491815885263,3.0870921737735775,5.407702702195611,0.04360621373699568
shuffled daily growth order within fire,1,"final area, duration, observed daily increments",temporal order of each fire's observed growth increments,0.8097244521608411,0.9488412906908609,1.510809749347885,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,5.710680219245328
dirichlet duration and final area,1,final area and observation count; monotonic cumulative growth,empirical pulse/timing structure and daily-growth marginal distribution,0.77950354189296,0.9446698775535051,1.6184170500252328,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,6.4012746715918905
zero-preserving dirichlet,1,"final area, observation count, and number of zero-growth days",empirical timing and increment sizes beyond zero frequency,0.7824015313698812,0.9450710267523939,1.6078393805076103,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,6.312579435572821
duration-bin empirical increments,1,duration-bin empirical daily-growth profiles and final area,fire-specific growth order and cross-feature pairing,0.8095568062100841,0.9482417522934079,1.5111503231929626,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,4.508239686778866
duration-bin mean profile,1,duration-bin average growth profile with weak noise,fire-specific pulse heterogeneity,0.8565442128971789,0.9688463683395276,1.355168046609242,4,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,2.621551499786099
independent feature permutation,2,marginal distribution of each engineered feature,all covariance and developmental ordering,0.33783998354392314,0.42510856490451515,7.867129721174093,33,0.0,0.39659046259525327,1.058912214232455,3.0980705648667977,5.407702702195611,0.04065004815353186
shuffled daily growth order within fire,2,"final area, duration, observed daily increments",temporal order of each fire's observed growth increments,0.8100830657753146,0.9497694319416689,1.5094177812100147,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,5.737428612153937
dirichlet duration and final area,2,final area and observation count; monotonic cumulative growth,empirical pulse/timing structure and daily-growth marginal distribution,0.7816138818092854,0.9443830211610604,1.610835127952624,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,6.45921817779348
zero-preserving dirichlet,2,"final area, observation count, and number of zero-growth days",empirical timing and increment sizes beyond zero frequency,0.7815398932805687,0.9448896093950181,1.611137104693147,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,6.430180306008452
duration-bin empirical increments,2,duration-bin empirical daily-growth profiles and final area,fire-specific growth order and cross-feature pairing,0.8067845364566459,0.946034328556408,1.5213194160629777,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,4.4599965963188755
duration-bin mean profile,2,duration-bin average growth profile with weak noise,fire-specific pulse heterogeneity,0.8562238475606195,0.9690900129548486,1.3561118153701537,4,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,2.5728885661466276
independent feature permutation,3,marginal distribution of each engineered feature,all covariance and developmental ordering,0.3382845409820735,0.42589555680687297,7.8500170311714825,33,0.0,0.39503728760841894,1.2835382316769766,3.0839950225157016,5.407702702195611,0.03387805039582611
shuffled daily growth order within fire,3,"final area, duration, observed daily increments",temporal order of each fire's observed growth increments,0.810625943567677,0.9495563722539907,1.5076816070894352,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,5.693688672261387
dirichlet duration and final area,3,final area and observation count; monotonic cumulative growth,empirical pulse/timing structure and daily-growth marginal distribution,0.7811598557382595,0.944047640259654,1.612764621721495,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,6.358237828209905
zero-preserving dirichlet,3,"final area, observation count, and number of zero-growth days",empirical timing and increment sizes beyond zero frequency,0.7799458651487913,0.9444045472591075,1.6168920506988944,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,6.417672213272922
duration-bin empirical increments,3,duration-bin empirical daily-growth profiles and final area,fire-specific growth order and cross-feature pairing,0.8102222719996733,0.9471155106395209,1.508899509015762,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,4.399679732322256
duration-bin mean profile,3,duration-bin average growth profile with weak noise,fire-specific pulse heterogeneity,0.8564708111923175,0.9686312483608701,1.355263077033319,4,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,2.5424236003748613
independent feature permutation,4,marginal distribution of each engineered feature,all covariance and developmental ordering,0.33830388354176977,0.42520004028683567,7.849795905186131,33,0.0,0.3954203291375687,1.1099789220744216,3.087686032760878,5.407702702195611,0.0007169649887952823
shuffled daily growth order within fire,4,"final area, duration, observed daily increments",temporal order of each fire's observed growth increments,0.80985499906823,0.949618739233412,1.5103657583583925,6,0.0,0.0,1.4303398713627939e-13,1.1235008149111891e-13,5.407702702195611,5.778116588470765
