predictor_set,block,median_r2,min_r2,max_r2,n
comprehensive event means,random_fire,0.0033548971169709008,0.0015078425325336653,0.024698588894245366,237235.0
comprehensive event means,region_block,-0.002855901073967493,-0.005590509854344949,0.01093347228179642,237235.0
comprehensive event means,region_year_hash,0.002831686066775252,0.0012145669331943276,0.0231000443812327,237235.0
comprehensive event means,year_block,0.0027923391571814116,0.0012352189727583562,0.023205439598431465,237235.0
core event means,random_fire,0.3627667172640187,0.15723030920046954,0.559557336655087,237235.0
core event means,region_block,0.3447841532511506,0.14589374876146133,0.5311929059949098,237235.0
core event means,region_year_hash,0.36196077354678646,0.15674562391577096,0.5586835817017972,237235.0
core event means,year_block,0.3609197957279061,0.15604192130517436,0.5570352500389045,237235.0
extreme days,random_fire,0.000517528387221633,0.00012194418750599567,0.022038635413795693,237235.0
extreme days,region_block,-0.0022539748971941442,-0.004806114170525788,0.007364615001868691,237235.0
extreme days,region_year_hash,0.0003409571941057066,-5.5786602446206146e-05,0.021114112580192468,237235.0
extreme days,year_block,0.00041392815598306765,1.9592204778207112e-05,0.021377983203714312,237235.0
fire danger and energy,random_fire,0.0007230748986765678,0.0005143992667590025,0.01768368678967458,237235.0
fire danger and energy,region_block,-0.0018933851411226943,-0.003403483514651251,0.008417097470658663,237235.0
fire danger and energy,region_year_hash,0.00044278128482411194,0.0003749388110511065,0.016331358046655198,237235.0
fire danger and energy,year_block,0.0005489536447727539,0.00038339150072574935,0.016899011994553126,237235.0
moisture and humidity,random_fire,0.0018035390017593356,0.00043715082172113284,0.016702265747730816,237235.0
moisture and humidity,region_block,-0.0018673160413411605,-0.004215748714832213,0.00558386494272467,237235.0
moisture and humidity,region_year_hash,0.0014636535861135003,0.00025852067514675614,0.015559752655594616,237235.0
moisture and humidity,year_block,0.0016484391802484843,0.00032459916306815106,0.01593644644317249,237235.0
region-season anomalies,random_fire,0.0030496287925244614,0.0011656414528944392,0.014927174078479322,237235.0
region-season anomalies,region_block,-0.0001905710363802049,-0.0008080539643595674,0.0013246642296501632,237235.0
region-season anomalies,region_year_hash,0.002734226876549173,0.0009540157775262958,0.013834134865307712,237235.0
region-season anomalies,year_block,0.0028000917239752177,0.0010334683854930082,0.013706579985421352,237235.0
time-resolved exposure,random_fire,0.022872660358759345,0.003171541808967171,0.11153552013217571,63840.0
time-resolved exposure,region_block,0.017251349539768146,0.00156496655867977,0.0935005269705248,63840.0
time-resolved exposure,region_year_hash,0.021651514230083824,0.003052991589562515,0.10876663366932682,63840.0
time-resolved exposure,year_block,0.022260762421584035,0.0028594513119347686,0.1088694476415275,63840.0
