kind,alpha,predictor_set,response,n,cohort_n,cohort_hash,r2,reference,delta_r2,status,stratum_variable,stratum_value
region_block,1,mean_only,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00205115181972,mean_only,0,evaluated,duration_days,3
region_block,1,mean_only,late_growth_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00356503103871,mean_only,0,evaluated,duration_days,3
region_block,1,mean_only,peak_timing,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.00157590725382,mean_only,0,evaluated,duration_days,3
region_block,1,mean_only,terminal_taper_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0109847159393,mean_only,0,evaluated,duration_days,3
region_block,1,mean_only,normalized_entropy,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0131034057277,mean_only,0,evaluated,duration_days,3
region_block,1,mean_only,pulse_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.000958731654346,mean_only,0,evaluated,duration_days,3
region_block,1,mean_only,reactivation_count,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,,mean_only,,evaluated,duration_days,3
region_block,1,mean_only,normalized_first_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0149528930086,mean_only,0,evaluated,duration_days,3
region_block,1,mean_only,normalized_second_difference,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,-0.0149528930086,mean_only,0,evaluated,duration_days,3
region_block,1,core_means,front_loaded_fraction,4603,4603,b1f59bb1e4b6ba1cdf9b1439cf6d7e6c6752a60e4b769c2571e0c42aaacd7055,0.00227893985235,mean_only,0.00433009167207,evaluated,duration_days,3
