predictor_set,position,feature
core_means,0,mean_maximum_temperature_c
core_means,1,mean_minimum_temperature_c
core_means,2,mean_vpd_kpa
core_means,3,mean_wind_speed_m_s
max_vpd_only,0,max_vpd
core_plus_max,0,mean_maximum_temperature_c
core_plus_max,1,mean_minimum_temperature_c
core_plus_max,2,mean_vpd_kpa
core_plus_max,3,mean_wind_speed_m_s
core_plus_max,4,max_vpd
comprehensive_means,0,mean_maximum_temperature_c
comprehensive_means,1,mean_minimum_temperature_c
comprehensive_means,2,mean_vpd_kpa
comprehensive_means,3,mean_wind_speed_m_s
comprehensive_means,4,mean_precipitation_mm
comprehensive_means,5,mean_maximum_relative_humidity_pct
comprehensive_means,6,mean_minimum_relative_humidity_pct
comprehensive_means,7,mean_specific_humidity_kg_kg
comprehensive_means,8,mean_fuel_moisture_100hr_pct
comprehensive_means,9,mean_fuel_moisture_1000hr_pct
comprehensive_means,10,mean_energy_release_component
comprehensive_means,11,mean_burning_index
comprehensive_means,12,mean_reference_evapotranspiration_mm
comprehensive_means,13,mean_potential_evapotranspiration_mm
comprehensive_means,14,mean_solar_radiation_w_m2
comprehensive_plus_max,0,mean_maximum_temperature_c
comprehensive_plus_max,1,mean_minimum_temperature_c
comprehensive_plus_max,2,mean_vpd_kpa
comprehensive_plus_max,3,mean_wind_speed_m_s
comprehensive_plus_max,4,mean_precipitation_mm
comprehensive_plus_max,5,mean_maximum_relative_humidity_pct
comprehensive_plus_max,6,mean_minimum_relative_humidity_pct
comprehensive_plus_max,7,mean_specific_humidity_kg_kg
comprehensive_plus_max,8,mean_fuel_moisture_100hr_pct
comprehensive_plus_max,9,mean_fuel_moisture_1000hr_pct
comprehensive_plus_max,10,mean_energy_release_component
comprehensive_plus_max,11,mean_burning_index
comprehensive_plus_max,12,mean_reference_evapotranspiration_mm
comprehensive_plus_max,13,mean_potential_evapotranspiration_mm
comprehensive_plus_max,14,mean_solar_radiation_w_m2
comprehensive_plus_max,15,max_vpd
length_only,0,log_duration
length_only,1,log_observations
length_plus_max,0,log_duration
length_plus_max,1,log_observations
length_plus_max,2,max_vpd
length_plus_core,0,log_duration
length_plus_core,1,log_observations
length_plus_core,2,mean_maximum_temperature_c
length_plus_core,3,mean_minimum_temperature_c
length_plus_core,4,mean_vpd_kpa
length_plus_core,5,mean_wind_speed_m_s
length_plus_core_max,0,log_duration
length_plus_core_max,1,log_observations
length_plus_core_max,2,mean_maximum_temperature_c
length_plus_core_max,3,mean_minimum_temperature_c
length_plus_core_max,4,mean_vpd_kpa
length_plus_core_max,5,mean_wind_speed_m_s
length_plus_core_max,6,max_vpd
core_quantile_exceedance,0,mean_maximum_temperature_c
core_quantile_exceedance,1,mean_minimum_temperature_c
core_quantile_exceedance,2,mean_vpd_kpa
core_quantile_exceedance,3,mean_wind_speed_m_s
core_quantile_exceedance,4,q90_vpd
core_quantile_exceedance,5,vpd_gt_2_fraction
core_quantile_exceedance,6,wet_fraction
