i,j,fire_id_a,fire_id_b,match_distance,caliper,k,metric,log_area_distance,weather_distance,morphology_distance,matching_space,duration_days_a,duration_days_b,observation_count_a,observation_count_b,catalog_area_km2_a,catalog_area_km2_b,region_a,region_b,season_a,season_b,start_date_a,start_date_b,end_date_a,end_date_b,mean_maximum_temperature_c_a,mean_maximum_temperature_c_b,mean_minimum_temperature_c_a,mean_minimum_temperature_c_b,mean_vpd_kpa_a,mean_vpd_kpa_b,mean_wind_speed_m_s_a,mean_wind_speed_m_s_b
2740,2746,217278,217345,0,0.5,10,euclidean,0,0,0.79672795444,weather,3,3,3,3,0.858634693187,0.858634693187,west,west,SON,SON,2010-09-21,2010-09-21,2010-09-23,2010-09-23,17.2166666667,17.2166666667,6.01666666667,6.01666666667,0.593333333333,0.593333333333,2.16666666667,2.16666666667
3102,3104,228717,228746,0,0.5,10,euclidean,0.211309093667,0,0.124086162517,weather,3,3,3,3,3.64919744605,4.50783213923,intermountain,intermountain,MAM,MAM,2011-04-03,2011-04-03,2011-04-05,2011-04-05,21.2833333333,21.2833333333,3.05,3.05,1.17,1.17,7.73333333333,7.73333333333
3416,3417,238746,238758,0,0.5,10,euclidean,0.182321556794,0,0.976238436539,weather,4,4,4,4,1.07329336648,1.28795203978,west,west,JJA,JJA,2011-08-30,2011-08-30,2011-09-02,2011-09-02,18.375,18.375,3.525,3.525,0.945,0.945,4.4,4.4
3564,3565,243922,243928,0,0.5,10,euclidean,0.559615787935,0,1.1875723012,weather,3,3,3,3,1.50261071308,0.858634693187,intermountain,intermountain,SON,SON,2011-10-18,2011-10-18,2011-10-20,2011-10-20,26.85,26.85,10.8833333333,10.8833333333,1.45333333333,1.45333333333,5.3,5.3
6067,6068,361078,361087,0,0.5,10,euclidean,0.559615787935,0,0.23751446024,weather,3,3,3,3,1.50261071308,0.858634693187,intermountain,intermountain,MAM,MAM,2017-04-25,2017-04-25,2017-04-27,2017-04-27,11.85,11.85,-1.41666666667,-1.41666666667,0.376666666667,0.376666666667,3.4,3.4
6555,6558,383151,383199,0,0.5,10,euclidean,0.223143551314,0,1.04764267832,weather,4,4,4,4,1.71726938637,2.14658673297,central,central,MAM,MAM,2018-04-17,2018-04-17,2018-04-20,2018-04-20,23.825,23.825,10.85,10.85,0.8125,0.8125,5.375,5.375
7576,7577,425159,425227,0,0.5,10,euclidean,0.154150679827,0,1.65517906489,weather,3,3,3,3,1.28795203978,1.50261071308,intermountain,intermountain,MAM,MAM,2020-04-16,2020-04-16,2020-04-18,2020-04-18,8.41666666667,8.41666666667,-5.38333333333,-5.38333333333,0.33,0.33,4.9,4.9
7643,7645,428346,428358,0,0.5,10,euclidean,0.60613580357,0,2.06895110055,weather,4,4,4,4,3.86385611934,7.0837362188,west,west,JJA,JJA,2020-06-13,2020-06-13,2020-06-16,2020-06-16,27.55,27.55,12.1,12.1,1.6,1.6,3.375,3.375
8661,8663,68069,68093,0,0.5,10,euclidean,0.559615787935,0,0.72943042236,weather,3,3,3,3,1.50261071308,0.858634693187,west,west,JJA,JJA,2004-07-10,2004-07-10,2004-07-12,2004-07-12,31.1166666667,31.1166666667,11.5166666667,11.5166666667,2.02666666667,2.02666666667,3.2,3.2
1520,1524,160988,161067,0.00317420803268,0.5,10,euclidean,0.405465108108,0.00317420803268,2.26493721336,weather,3,3,3,3,5.58112550572,8.37168825858,intermountain,intermountain,MAM,MAM,2008-04-14,2008-04-14,2008-04-16,2008-04-16,17.5833333333,17.5833333333,1.18333333333,1.15,0.67,0.673333333333,6.3,6.3
