space,metric,k,n,pairs,matched_fraction,median_mismatch,good_match_exists_fraction,mismatch_gt1_fraction
weather,euclidean,1,9212,2354,0.511072514112,0.956826011488,0.615284411637,0.478759558199
weather,euclidean,5,9212,3456,0.75032566218,0.990638142493,0.886995223621,0.493055555556
weather,euclidean,10,9212,3710,0.80547112462,0.997495460261,0.912396873643,0.49730458221
weather,euclidean,20,9212,3825,0.830438558402,0.995707590468,0.919344333478,0.496470588235
weather,cityblock,1,9212,2390,0.518888406426,0.826224287332,0.630590534086,0.371548117155
weather,cityblock,5,9212,3516,0.76335214937,0.847618810434,0.909465914025,0.38850967008
weather,cityblock,10,9212,3807,0.826530612245,0.854317944573,0.936170212766,0.393485684266
weather,cityblock,20,9212,3957,0.859096830221,0.851077816998,0.94398610508,0.392721758908
morphology,euclidean,1,9212,2067,0.448762483717,0.863169479712,0.714611376465,0.391872278665
morphology,euclidean,5,9212,2848,0.618323925315,0.868910187175,0.802431610942,0.401334269663
morphology,euclidean,10,9212,3145,0.682805036908,0.86718508833,0.812527138515,0.394912559618
morphology,euclidean,20,9212,3375,0.732739904472,0.866569340927,0.815240990013,0.395259259259
morphology,cityblock,1,9212,2159,0.468736430743,0.725340411878,0.741858445506,0.294580824456
morphology,cityblock,5,9212,2984,0.647850629614,0.729349926855,0.841185410334,0.297587131367
morphology,cityblock,10,9212,3306,0.717759444203,0.724117596483,0.853560573165,0.289776164549
morphology,cityblock,20,9212,3542,0.768996960486,0.72193919417,0.856925749023,0.289384528515
