analysis,n,bins,pc1,first_five,effective_dimension,hull_fill,occupied_fraction
all_observed_histories_observation_time,278569,20,0.37733131769,0.869841722748,4.45431583344,1,1
one_slice,161073,20,0,0,0,,
two_slice,47950,20,1,1,1,0.000103370353469,0.05
multi_observation_including_gaps,69546,20,0.287940746404,0.844778757356,5.36753301654,0.973258473676,0.9675
primary_consecutive_ge3,10246,20,0.341495575686,0.894435897825,4.39439891125,0.927236177068,0.8925
consecutive_ge5,2887,20,0.266210746373,0.824315261657,6.16239733965,0.903137905131,0.8275
consecutive_ge10,438,20,0.211005980517,0.665906617886,8.83834487456,0.875581634723,0.51
primary_resolution,10246,10,0.372422198071,0.94176220604,3.90530172819,0.950401836815,0.9275
primary_resolution,10246,40,0.331229207846,0.875007211202,4.57895948017,0.89176440939,0.8575
legacy_features_all_mean_centered,278569,0,0.728643534455,0.949948965286,1.83061752224,0.826659307367,0.6475
legacy_features_primary_mean_centered,10246,0,0.375055573058,0.882558574441,4.31106850035,0.873443670791,0.8475
shape_traits_only,10246,0,0.426821764367,0.931644124912,3.73062245857,0.925049055994,0.92
