null,rep,n,pc1,first_five,effective_dimension,hull_fill,occupied_fraction
observed_same_sample,-1,4000,0.342229771896,0.895721723012,4.35915310007,0.868955316636,0.8275
within_fire_permutation,0,4000,0.306829806101,0.866069723418,5.01522719872,0.819287484639,0.795
dirichlet_1,0,4000,0.353884385479,0.90366475204,4.08462655397,0.775348170259,0.7675
dirichlet_10,0,4000,0.369129392369,0.912378550687,3.95807816768,0.962017252318,0.9225
within_fire_permutation,1,4000,0.310186415557,0.862845824915,5.02280141884,0.831384455559,0.7925
dirichlet_1,1,4000,0.347027309556,0.902389944359,4.22505707742,0.777602747533,0.7675
dirichlet_10,1,4000,0.364757008127,0.907327408319,3.97893881105,0.979170487262,0.925
within_fire_permutation,2,4000,0.302069603591,0.86248714596,5.05789324182,0.844756093567,0.8075
dirichlet_1,2,4000,0.347372496629,0.902534495242,4.1570326702,0.789718422222,0.7625
dirichlet_10,2,4000,0.373180844831,0.911912758399,3.93012930661,0.968386758051,0.92
within_fire_permutation,3,4000,0.300742952538,0.863909799264,5.06849923047,0.844858407409,0.8025
dirichlet_1,3,4000,0.356952592282,0.906047889265,4.12407983608,0.767887113912,0.7675
dirichlet_10,3,4000,0.360972134561,0.912281826225,3.96723816723,0.959138781129,0.91
within_fire_permutation,4,4000,0.308274465726,0.859768538115,5.04864418233,0.861943523998,0.81
dirichlet_1,4,4000,0.352292377914,0.903637655944,4.13953532671,0.769009695255,0.7725
dirichlet_10,4,4000,0.347282457326,0.905964726873,4.09227838864,0.966414250368,0.9075
within_fire_permutation,5,4000,0.301632967099,0.863464686805,5.04958873324,0.842709139414,0.81
dirichlet_1,5,4000,0.351846071074,0.902700603771,4.13051155136,0.768287362204,0.765
dirichlet_10,5,4000,0.363117194838,0.913196400492,3.97390938993,0.960612607233,0.915
within_fire_permutation,6,4000,0.306488572044,0.860548175875,5.05916039514,0.804722481011,0.7875
dirichlet_1,6,4000,0.351925545212,0.90492298394,4.14682223523,0.753456998915,0.7525
dirichlet_10,6,4000,0.362684426956,0.911285674951,3.93236832663,0.966478791025,0.9375
within_fire_permutation,7,4000,0.310497290296,0.861737100048,5.0117765628,0.856979859304,0.8125
dirichlet_1,7,4000,0.352610646309,0.902628971276,4.15573736988,0.75104405973,0.7525
dirichlet_10,7,4000,0.360860988734,0.910842956199,4.01881108991,0.987201063502,0.94
within_fire_permutation,8,4000,0.304933821335,0.860245405143,5.08496905265,0.824555764506,0.795
dirichlet_1,8,4000,0.359752709989,0.903737694932,4.10672645419,0.766373058855,0.75
dirichlet_10,8,4000,0.370065771879,0.91086250306,3.91826817776,0.985811601458,0.9325
within_fire_permutation,9,4000,0.300181379764,0.861599309987,5.05303707803,0.821508713304,0.785
dirichlet_1,9,4000,0.355915767855,0.904126063673,4.09787542105,0.75682115531,0.745
dirichlet_10,9,4000,0.359629489503,0.907103579773,4.02363503338,0.979664845633,0.92
within_fire_permutation,10,4000,0.304640457504,0.858199661122,5.07821484232,0.853822978421,0.8
dirichlet_1,10,4000,0.356617972287,0.907318322644,4.08018165984,0.752145040994,0.7525
dirichlet_10,10,4000,0.362427916442,0.907708734931,4.03856886974,0.975245514533,0.93
within_fire_permutation,11,4000,0.311127426032,0.86355099576,4.99443405021,0.834678402173,0.7875
dirichlet_1,11,4000,0.351987706349,0.904080983661,4.13205683184,0.771634494303,0.7675
dirichlet_10,11,4000,0.359625066305,0.911279422632,3.97209599725,0.973388467838,0.9375
within_fire_permutation,12,4000,0.302774052841,0.860023530826,5.04011113447,0.85654874491,0.7975
dirichlet_1,12,4000,0.355094474773,0.90377477767,4.09685413696,0.747818271616,0.74
dirichlet_10,12,4000,0.367367770997,0.909638727113,3.97584080062,0.961775796879,0.925
within_fire_permutation,13,4000,0.309737911554,0.86623957146,4.98284343981,0.844567086883,0.805
dirichlet_1,13,4000,0.350992713056,0.90214519897,4.14636128448,0.772842623465,0.7725
dirichlet_10,13,4000,0.359693821182,0.91016326501,4.03056537986,0.968072664809,0.915
within_fire_permutation,14,4000,0.307302878966,0.860563075905,5.07892921629,0.83842530862,0.8125
dirichlet_1,14,4000,0.350014537713,0.901047832673,4.1580952924,0.766782947357,0.755
dirichlet_10,14,4000,0.362355125813,0.910470699173,4.00148904452,0.955717781533,0.93
within_fire_permutation,15,4000,0.300245477347,0.862353997578,5.13241805773,0.843798898828,0.8
dirichlet_1,15,4000,0.351057103044,0.901289005804,4.14365287648,0.751291817436,0.735
dirichlet_10,15,4000,0.357535390835,0.910937127816,4.02131950806,0.960523115367,0.9175
within_fire_permutation,16,4000,0.306297168729,0.863319659562,5.07292214944,0.846554951514,0.8175
dirichlet_1,16,4000,0.359384546973,0.904000343416,4.05333831012,0.74960186707,0.7625
dirichlet_10,16,4000,0.35705899558,0.910610086966,3.99619140937,0.960989146302,0.9375
within_fire_permutation,17,4000,0.299243447933,0.859880183669,5.10198827326,0.870911892949,0.825
dirichlet_1,17,4000,0.359725494947,0.905008529721,4.10838483909,0.735961116438,0.7425
dirichlet_10,17,4000,0.368380778623,0.910422580325,3.97344870863,0.970454690497,0.92
within_fire_permutation,18,4000,0.298035736094,0.862287658526,5.09006961609,0.848584233353,0.8075
dirichlet_1,18,4000,0.35709093792,0.904292873277,4.10385947221,0.760328900527,0.7625
dirichlet_10,18,4000,0.361827978173,0.910606530705,3.9336294443,0.975798512776,0.94
within_fire_permutation,19,4000,0.304476276038,0.861236249545,5.06789718518,0.872226242471,0.82
dirichlet_1,19,4000,0.35928292366,0.905140797801,4.08941127535,0.761589455704,0.7525
dirichlet_10,19,4000,0.364322511603,0.908901983642,3.98042485388,0.981079886017,0.92
within_fire_permutation,20,4000,0.301932792346,0.86353813949,5.04509101474,0.837734764153,0.805
dirichlet_1,20,4000,0.351304639961,0.905482559451,4.08084886009,0.739932932282,0.755
dirichlet_10,20,4000,0.358016288334,0.913104741398,3.98046744903,0.978453850758,0.9475
within_fire_permutation,21,4000,0.307130578468,0.86059064563,5.06118305962,0.854736429256,0.795
dirichlet_1,21,4000,0.356516199874,0.903512949502,4.12250353828,0.752825743037,0.76
dirichlet_10,21,4000,0.367259176709,0.910870832499,3.95872617726,0.957910671531,0.93
within_fire_permutation,22,4000,0.3028560139,0.862920363353,5.04380187582,0.835575263895,0.805
dirichlet_1,22,4000,0.352667107778,0.902839694436,4.11684516489,0.750479032835,0.755
dirichlet_10,22,4000,0.356497643649,0.912651597087,3.97376723322,0.973403016701,0.93
within_fire_permutation,23,4000,0.296550433564,0.863021266438,5.09700749256,0.829762333066,0.7825
dirichlet_1,23,4000,0.348322119322,0.90370527325,4.12862973176,0.756351954358,0.755
dirichlet_10,23,4000,0.36127073561,0.909082567433,3.98074490917,0.977126018234,0.915
within_fire_permutation,24,4000,0.30716735517,0.863274973569,5.01611673054,0.836897351657,0.8075
dirichlet_1,24,4000,0.354602665513,0.903418388105,4.11391737011,0.751275792552,0.755
dirichlet_10,24,4000,0.361608266139,0.90897981146,3.9840287495,0.967088063534,0.93
within_fire_permutation,25,4000,0.300983908646,0.857954573755,5.07309058787,0.847084440795,0.8025
dirichlet_1,25,4000,0.360706060104,0.905145098277,4.0451722702,0.763467085975,0.7625
dirichlet_10,25,4000,0.358201707961,0.910372238479,4.03195593611,0.977654966432,0.9325
within_fire_permutation,26,4000,0.308113429834,0.862451273271,5.03272941636,0.832745627981,0.785
dirichlet_1,26,4000,0.356218178193,0.906372432107,4.07521859068,0.763441339723,0.76
dirichlet_10,26,4000,0.364959341201,0.910848561109,3.97739791623,0.979817495268,0.925
within_fire_permutation,27,4000,0.302106673971,0.862996610391,5.0775962531,0.853229926581,0.81
dirichlet_1,27,4000,0.356301831789,0.901375111821,4.14042972021,0.780519980815,0.7625
dirichlet_10,27,4000,0.360481099592,0.911151070534,3.97052785161,0.971383536306,0.935
within_fire_permutation,28,4000,0.309923143033,0.860422075225,5.08624150609,0.831186285249,0.8025
dirichlet_1,28,4000,0.357281761594,0.905996685254,4.10536378955,0.759879736122,0.7625
dirichlet_10,28,4000,0.364242303418,0.911047200191,4.00230700463,0.96965974383,0.94
within_fire_permutation,29,4000,0.303589949394,0.861521053323,5.05866901298,0.861121291522,0.82
dirichlet_1,29,4000,0.351651122683,0.902987807812,4.13605573186,0.768501423552,0.7525
dirichlet_10,29,4000,0.369696641129,0.912582806896,3.96660388723,0.977228539824,0.93
within_fire_permutation,30,4000,0.300134265771,0.8596650687,5.12884038622,0.859644085701,0.8125
dirichlet_1,30,4000,0.352353756176,0.902018524974,4.1526689493,0.758709297394,0.7625
dirichlet_10,30,4000,0.369254792685,0.907543295737,3.95827075952,0.97778049862,0.9325
within_fire_permutation,31,4000,0.305742568482,0.86033362267,5.05825385463,0.78702956951,0.785
dirichlet_1,31,4000,0.353404815098,0.904881429496,4.11455152518,0.74706473413,0.7375
dirichlet_10,31,4000,0.365616865248,0.913195488447,3.92072224029,0.950351501917,0.9275
within_fire_permutation,32,4000,0.30340489903,0.862396377536,5.12427824721,0.837842834227,0.7925
dirichlet_1,32,4000,0.351894274483,0.906564500847,4.12232324325,0.759164304281,0.7525
dirichlet_10,32,4000,0.35614427918,0.906121970662,4.05194100326,0.980704854629,0.9225
within_fire_permutation,33,4000,0.312243422277,0.863081571263,4.96457168373,0.830135288348,0.7975
dirichlet_1,33,4000,0.353865331048,0.904427142948,4.0667960267,0.743350786487,0.7425
dirichlet_10,33,4000,0.363847006937,0.909637112914,3.9896346789,0.973105891805,0.925
within_fire_permutation,34,4000,0.309613228479,0.862681094187,5.02197875847,0.839989278057,0.79
dirichlet_1,34,4000,0.352589540454,0.903014779564,4.15547518753,0.75881448256,0.7625
dirichlet_10,34,4000,0.366399156512,0.912711317547,3.94227882933,0.960744035944,0.9125
within_fire_permutation,35,4000,0.307277479354,0.861284528026,5.02723946614,0.82423503461,0.7975
dirichlet_1,35,4000,0.353933776347,0.902712003347,4.12483082872,0.768516960638,0.76
dirichlet_10,35,4000,0.3632287732,0.908931386824,3.96594249205,0.973905542286,0.9325
within_fire_permutation,36,4000,0.298983913479,0.85988645514,5.10004205934,0.836148599049,0.7875
dirichlet_1,36,4000,0.356864179736,0.904490085974,4.08971709929,0.746303987262,0.75
dirichlet_10,36,4000,0.361702945478,0.911145402068,3.95631588349,0.982679239557,0.94
within_fire_permutation,37,4000,0.301233485712,0.860210381706,5.09710260669,0.858740625667,0.8075
dirichlet_1,37,4000,0.363906462652,0.906753318885,4.04139582265,0.779880974017,0.765
dirichlet_10,37,4000,0.364786516732,0.912278396339,3.98132095102,0.977169588429,0.94
