axis,explained_variance,cumulative_variance
1,0.341495575686,0.341495575686
2,0.28217647259,0.623672048276
3,0.144757950939,0.768429999214
4,0.0820546880174,0.850484687232
5,0.0439512105934,0.894435897825
6,0.0278972475035,0.922333145329
7,0.0201077770849,0.942440922413
8,0.0147561848702,0.957197107284
9,0.011526895738,0.968724003022
10,0.00933518060723,0.978059183629
11,0.00538120329274,0.983440386922
12,0.00457989705666,0.988020283978
13,0.00355612797266,0.991576411951
14,0.00283285536193,0.994409267313
15,0.00221474717496,0.996624014488
16,0.00165022310987,0.998274237598
17,0.00112202119091,0.999396258789
18,0.00047650219059,0.999872760979
19,0.000127239020686,1
20,2.07558440382e-18,1
