kind,n,delta_r2,resampling,groups,r2_low,r2_high,delta_low,delta_high
random_fire,87944,0.00982933814302,fire_id,31700,0.458059879444,0.490020483179,0.00822666934566,0.0115690374932
random_fire,87944,0.00982933814302,year,22,0.434907076929,0.504622928255,0.00805543604538,0.0115315920905
random_fire,87944,0.00982933814302,region,4,0.247947229685,0.522008567997,0.00823465404954,0.019220680395
region_block,87944,0.0131365122665,fire_id,31700,0.450060999351,0.481251474532,0.0112009602916,0.0153300213521
region_block,87944,0.0131365122665,year,22,0.426892795965,0.495183101213,0.0111708750508,0.0151311203134
region_block,87944,0.0131365122665,region,4,0.240571947526,0.510152690363,0.00893240256009,0.0215446476622
spatiotemporal,87944,0.0130762702617,fire_id,31700,0.449983950119,0.481183469131,0.0110812531633,0.0151321477581
spatiotemporal,87944,0.0130762702617,year,22,0.426784194063,0.494716876125,0.0110094478072,0.0151401266055
spatiotemporal,87944,0.0130762702617,region,4,0.240064624841,0.50992959295,0.00916896008354,0.0213889920005
year_block,87944,0.00954499006674,fire_id,31700,0.457417596972,0.489074810656,0.00786465757192,0.011251380579
year_block,87944,0.00954499006674,year,22,0.434316318426,0.503452218552,0.00770136992155,0.0113857510819
year_block,87944,0.00954499006674,region,4,0.247311365528,0.521020372866,0.00757819438161,0.0193993014004
