kind,alpha,predictor_set,response,n,cohort_n,cohort_hash,r2,reference,delta_r2,status
random_fire,0.01,mean_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,-0.000326997276921,autoregressive,-0.458702602356,evaluated
random_fire,0.01,persistence,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.300601283624,autoregressive,-0.157774321454,evaluated
random_fire,0.01,autoregressive,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.458375605079,autoregressive,0,evaluated
random_fire,0.01,weather_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.083160788195,autoregressive,-0.375214816884,evaluated
random_fire,0.01,state_plus_weather,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.463763671227,autoregressive,0.00538806614789,evaluated
random_fire,0.01,state_weather_interactions,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.473592407732,autoregressive,0.0152168026531,evaluated
random_fire,1,mean_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,-0.000326997276921,autoregressive,-0.458702604133,evaluated
random_fire,1,persistence,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.300601283624,autoregressive,-0.157774323232,evaluated
random_fire,1,autoregressive,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.458375606856,autoregressive,0,evaluated
random_fire,1,weather_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.0831608335144,autoregressive,-0.375214773342,evaluated
random_fire,1,state_plus_weather,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.463763677666,autoregressive,0.00538807080995,evaluated
random_fire,1,state_weather_interactions,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.473593015809,autoregressive,0.015217408953,evaluated
random_fire,100,mean_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,-0.000326997276921,autoregressive,-0.458701689042,evaluated
random_fire,100,persistence,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.300601283624,autoregressive,-0.157773408141,evaluated
random_fire,100,autoregressive,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.458374691765,autoregressive,0,evaluated
random_fire,100,weather_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.0831607927625,autoregressive,-0.375213899003,evaluated
random_fire,100,state_plus_weather,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.463762457172,autoregressive,0.00538776540652,evaluated
random_fire,100,state_weather_interactions,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.473543605269,autoregressive,0.0151689135037,evaluated
year_block,0.01,mean_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,-0.000683741792679,autoregressive,-0.458907755096,evaluated
year_block,0.01,persistence,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.300601283624,autoregressive,-0.157622729678,evaluated
year_block,0.01,autoregressive,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.458224013303,autoregressive,0,evaluated
year_block,0.01,weather_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.0807121548499,autoregressive,-0.377511858453,evaluated
year_block,0.01,state_plus_weather,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.463331773316,autoregressive,0.00510776001335,evaluated
year_block,0.01,state_weather_interactions,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.472875607555,autoregressive,0.0146515942525,evaluated
year_block,1,mean_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,-0.000683741792679,autoregressive,-0.458907803237,evaluated
year_block,1,persistence,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.300601283624,autoregressive,-0.15762277782,evaluated
year_block,1,autoregressive,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.458224061444,autoregressive,0,evaluated
year_block,1,weather_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.0807125452317,autoregressive,-0.377511516212,evaluated
year_block,1,state_plus_weather,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.463331864606,autoregressive,0.00510780316236,evaluated
year_block,1,state_weather_interactions,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.472876854673,autoregressive,0.0146527932291,evaluated
year_block,100,mean_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,-0.000683741792679,autoregressive,-0.458911396665,evaluated
year_block,100,persistence,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.300601283624,autoregressive,-0.157626371248,evaluated
year_block,100,autoregressive,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.458227654872,autoregressive,0,evaluated
year_block,100,weather_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.0807456711108,autoregressive,-0.377481983762,evaluated
year_block,100,state_plus_weather,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.463338787903,autoregressive,0.00511113303085,evaluated
year_block,100,state_weather_interactions,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.472871289567,autoregressive,0.0146436346948,evaluated
region_block,0.01,mean_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,-0.0609472448072,autoregressive,-0.508591724514,evaluated
region_block,0.01,persistence,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.300601283624,autoregressive,-0.147043196083,evaluated
region_block,0.01,autoregressive,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.447644479707,autoregressive,0,evaluated
region_block,0.01,weather_only,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.0479539786413,autoregressive,-0.399690501066,evaluated
region_block,0.01,state_plus_weather,next_growth_log1p,87944,87944,a9ccc574c7245d71a3db3f603a1d3a6984c9bdd73c9ecb9379c0db4fbd604eff,0.452654139003,autoregressive,0.00500965929552,evaluated
