kind,predictor_set,stratum,value,n,r2,delta_r2,resampling,groups,r2_low,r2_high,delta_low,delta_high
random_fire,autoregressive,region,central,24323,0.16073753343,0,fire_id,10105,0.130068984039,0.188112407868,0,0
random_fire,autoregressive,region,east,17224,0.312633456971,0,fire_id,6575,0.227777985322,0.415403303504,0,0
random_fire,autoregressive,region,intermountain,23399,0.400591344421,0,fire_id,8866,0.37082227467,0.427817470079,0,0
random_fire,autoregressive,region,west,22998,0.503765767208,0,fire_id,6154,0.48159730991,0.529625877086,0,0
random_fire,autoregressive,season,DJF,12759,0.145855200772,0,fire_id,5237,0.0790342611559,0.22870982239,0,0
random_fire,autoregressive,season,JJA,29913,0.511076676833,0,fire_id,8208,0.485426906749,0.530022879247,0,0
random_fire,autoregressive,season,MAM,20363,0.353544872736,0,fire_id,8398,0.310906235124,0.38676341359,0,0
random_fire,autoregressive,season,SON,24909,0.377445779575,0,fire_id,9857,0.335990267717,0.418093347675,0,0
random_fire,autoregressive,size_class,"(0.0, 1.0]",1947,-7.37587999171,0,fire_id,1838,-8.20198004983,-6.62367242722,0,0
random_fire,autoregressive,size_class,"(1.0, 10.0]",46640,-0.254274929015,0,fire_id,23072,-0.268864192001,-0.236422281792,0,0
random_fire,autoregressive,size_class,"(10.0, 100.0]",31106,0.0777051169386,0,fire_id,6160,0.0631191694867,0.0933295596597,0,0
random_fire,autoregressive,size_class,"(100.0, 1000.0]",7652,0.305152916136,0,fire_id,599,0.272391228895,0.329367223851,0,0
random_fire,autoregressive,size_class,"(1000.0, inf]",599,0.379507393577,0,fire_id,31,0.230246545734,0.451664396879,0,0
random_fire,autoregressive,observation_quality,consecutive_history,21677,0.464864368307,0,fire_id,9212,0.432307191995,0.493518322019,0,0
random_fire,autoregressive,observation_quality,history_has_gaps,66267,0.455686012558,0,fire_id,22488,0.432595490631,0.479124372181,0,0
random_fire,mean_only,region,central,24323,-0.190603697387,-0.351341230817,fire_id,10105,-0.220540126013,-0.163865935362,-0.375559462249,-0.332132540951
random_fire,mean_only,region,east,17224,-0.230363132786,-0.542996589757,fire_id,6575,-0.300781223206,-0.160664689014,-0.584301110779,-0.507542381502
random_fire,mean_only,region,intermountain,23399,-0.018502489873,-0.419093834294,fire_id,8866,-0.0254045927127,-0.0122324304793,-0.452487715562,-0.386248093435
random_fire,mean_only,region,west,22998,-0.0802264693131,-0.583992236521,fire_id,6154,-0.0957162394267,-0.0622678189428,-0.621856502803,-0.545762347306
random_fire,mean_only,season,DJF,12759,-0.173283867781,-0.319139068553,fire_id,5237,-0.215764341784,-0.130967367653,-0.372850969561,-0.280792760407
