dimension,value,weather_complete,n,primary_n,median_duration,median_area,median_entropy,median_front_loading
region,alaska,False,41279,1028,1,0.214658673297,0,0.5
region,central,True,89584,2339,1,0.429317346594,0,0.5
region,east,True,43972,1418,1,0.429317346594,0,0.5
region,hawaii,False,55,6,2,0.643976019891,0.436638754776,0.5
region,intermountain,True,58896,3259,1,0.429317346594,0,0.5
region,west,True,44783,2196,1,0.429317346594,0,0.5
year,2000,True,629,11,1,0.429317346594,0,0.5
year,2001,False,125,1,1,0.214658673297,0,0.5
year,2001,True,5845,185,1,0.429317346594,0,0.5
year,2002,False,2135,59,1,0.214658673297,0,0.5
year,2002,True,7437,242,1,0.429317346594,0,0.5
year,2003,False,1407,48,1,0.214658673297,0,0.5
year,2003,True,13571,514,1,0.429317346594,0,0.5
year,2004,False,7532,218,1,0.214658673297,0,0.5
year,2004,True,12044,412,1,0.429317346594,0,0.5
year,2005,False,5028,100,1,0.214658673297,0,0.5
year,2005,True,12327,517,1,0.429317346594,0,0.5
year,2006,False,408,13,1,0.214658673297,0,0.5
year,2006,True,12057,561,1,0.429317346594,0,0.5
year,2007,False,958,35,1,0.214658673297,0,0.5
year,2007,True,13223,487,1,0.429317346594,0,0.5
year,2008,False,301,14,1,0.214658673297,0,0.5
year,2008,True,13324,495,1,0.429317346594,0,0.5
year,2009,False,3271,66,1,0.214658673297,0,0.5
year,2009,True,10583,415,1,0.429317346594,0,0.5
year,2010,False,1404,40,1,0.214658673297,0,0.5
year,2010,True,14246,558,1,0.429317346594,0,0.5
year,2011,False,215,5,1,0.214658673297,0,0.5
year,2011,True,13053,655,1,0.429317346594,0,0.5
year,2012,False,897,30,1,0.214658673297,0,0.5
year,2012,True,9866,440,1,0.429317346594,0,0.5
year,2013,False,2025,56,1,0.214658673297,0,0.5
year,2013,True,10660,336,1,0.429317346594,0,0.5
year,2014,False,295,7,1,0.214658673297,0,0.5
year,2014,True,10055,355,1,0.429317346594,0,0.5
year,2015,False,9068,207,1,0.214658673297,0,0.5
year,2015,True,13214,406,1,0.429317346594,0,0.5
year,2016,False,902,19,1,0.214658673297,0,0.5
year,2016,True,12609,547,1,0.429317346594,0,0.5
year,2017,False,603,18,1,0.214658673297,0,0.5
year,2017,True,12049,490,1,0.429317346594,0,0.5
year,2018,False,628,15,1,0.214658673297,0,0.5
year,2018,True,10808,473,1,0.429317346594,0,0.5
year,2019,False,4029,74,1,0.214658673297,0,0.5
year,2019,True,11638,395,1,0.429317346594,0,0.5
year,2020,False,103,9,1,0.429317346594,0,0.5
year,2020,True,13010,523,1,0.429317346594,0,0.5
year,2021,True,4987,195,1,0.429317346594,0,0.5
duration_bin,"(0.0, 1.0]",False,29573,0,1,0.214658673297,0,0.5
duration_bin,"(0.0, 1.0]",True,131500,0,1,0.214658673297,0,0.5
duration_bin,"(1.0, 2.0]",False,2316,0,2,0.429317346594,1,0.5
duration_bin,"(1.0, 2.0]",True,14937,0,2,0.643976019891,0.970950594455,0.5
duration_bin,"(10.0, 30.0]",False,1230,80,14,9.87429897166,0.849934725371,0.545454545455
duration_bin,"(10.0, 30.0]",True,13772,232,13,5.36646683242,0.882171436125,0.5
duration_bin,"(2.0, 3.0]",False,2071,520,3,0.643976019891,1,0.5
duration_bin,"(2.0, 3.0]",True,16442,4603,3,0.858634693187,0.946394630357,0.5
duration_bin,"(3.0, 5.0]",False,3051,287,4,0.643976019891,0.960229717861,0.5
duration_bin,"(3.0, 5.0]",True,27097,3033,4,1.07329336648,0.920619835714,0.5
duration_bin,"(30.0, inf]",False,48,3,35.5,200.920518206,0.863094092874,0.438731715483
duration_bin,"(30.0, inf]",True,244,6,35,55.8112550572,0.874009172663,0.506941923775
