region,month,maximum_temperature_c,minimum_temperature_c,vpd_kpa,wind_speed_m_s,precipitation_mm,maximum_relative_humidity_pct,minimum_relative_humidity_pct,specific_humidity_kg_kg,fuel_moisture_100hr_pct,fuel_moisture_1000hr_pct,energy_release_component,burning_index,reference_evapotranspiration_mm,potential_evapotranspiration_mm,solar_radiation_w_m2
central,1,17.25,2.5500000000000114,0.56,4.0,0.0,88.80000000000001,39.5,0.0047,16.1,19.400000000000002,25.0,26.0,3.3000000000000003,2.2,141.1
central,2,18.350000000000023,3.25,0.61,4.2,0.0,90.10000000000001,38.2,0.005,15.8,18.7,26.0,26.0,4.0,2.8000000000000003,169.70000000000002
central,3,20.450000000000045,4.9500000000000455,0.78,4.1000000000000005,0.0,84.60000000000001,34.800000000000004,0.005240000000000001,14.100000000000001,18.1,30.0,28.0,4.9,3.5,209.9
central,4,21.150000000000034,5.75,0.81,4.5,0.0,83.4,34.300000000000004,0.0053,13.4,16.8,33.0,32.0,5.7,4.2,248.9
central,5,29.05000000000001,15.75,1.09,3.6,0.0,92.30000000000001,40.900000000000006,0.01114,14.600000000000001,17.6,30.0,26.0,6.800000000000001,5.4,298.7
central,6,32.75,20.950000000000045,1.31,3.3000000000000003,0.0,94.10000000000001,43.900000000000006,0.014940000000000002,14.8,18.0,29.0,24.0,7.5,6.2,320.1
central,7,33.650000000000034,22.55000000000001,1.25,3.1,0.0,98.30000000000001,46.6,0.016550000000000002,15.8,18.5,25.0,22.0,7.4,6.2,302.75
central,8,33.950000000000045,21.75,1.52,3.1,0.0,93.10000000000001,39.2,0.015200000000000002,14.8,16.3,31.0,25.0,7.2,5.800000000000001,278.40000000000003
central,9,30.950000000000045,18.05000000000001,1.29,3.2,0.0,91.2,39.1,0.012230000000000001,14.9,16.8,32.0,27.0,6.2,4.7,240.70000000000002
central,10,26.05000000000001,11.350000000000023,1.0,3.4000000000000004,0.0,91.0,37.0,0.00824,15.3,17.2,31.0,27.0,5.0,3.6,198.0
central,11,21.450000000000045,6.650000000000034,0.72,3.5,0.0,92.30000000000001,39.300000000000004,0.00651,16.3,17.8,27.0,25.0,3.7,2.6,144.8
central,12,18.650000000000034,4.9500000000000455,0.56,3.5,0.0,91.10000000000001,41.7,0.005840000000000001,16.8,18.8,25.0,24.0,3.1,2.1,140.70000000000002
east,1,23.450000000000045,9.650000000000034,0.76,3.4000000000000004,0.0,97.7,41.300000000000004,0.00807,17.400000000000002,18.6,26.0,24.0,3.9000000000000004,2.8000000000000003,169.60000000000002
east,2,24.650000000000034,10.850000000000023,0.84,3.4000000000000004,0.0,96.5,39.800000000000004,0.008575000000000001,16.7,18.2,27.0,25.0,4.6000000000000005,3.4000000000000004,199.60000000000002
east,3,24.25,9.25,0.91,3.9000000000000004,0.0,90.80000000000001,35.9,0.007260000000000001,14.9,17.400000000000002,31.0,29.0,5.5,4.1000000000000005,237.0
east,4,28.55000000000001,14.450000000000045,1.1300000000000001,3.7,0.0,94.10000000000001,37.800000000000004,0.01016,15.200000000000001,17.0,31.0,28.0,6.7,5.2,277.5
east,5,31.05000000000001,17.850000000000023,1.2,3.6,0.0,99.0,40.800000000000004,0.01276,15.5,17.1,30.0,27.0,7.4,5.9,320.40000000000003
east,6,33.25,21.05000000000001,1.26,3.1,0.30000000000000004,100.0,44.05,0.015505000000000001,16.400000000000002,18.5,23.0,19.0,7.300000000000001,6.0,298.3
east,7,33.75,22.350000000000023,1.2,2.8000000000000003,1.4000000000000001,100.0,47.900000000000006,0.016970000000000002,17.400000000000002,20.700000000000003,16.0,0.0,6.9,5.800000000000001,288.85
east,8,33.650000000000034,22.55000000000001,1.18,2.9000000000000004,0.6000000000000001,100.0,48.6,0.017275,17.6,21.200000000000003,16.0,0.0,6.5,5.5,275.1
east,9,31.55000000000001,19.950000000000045,1.08,3.0,0.0,100.0,47.2,0.014780000000000001,17.5,20.400000000000002,20.0,19.0,5.5,4.5,225.9
east,10,28.850000000000023,17.55000000000001,0.89,3.4000000000000004,0.0,99.5,49.2,0.013120000000000001,17.8,20.200000000000003,21.0,21.0,4.800000000000001,3.6,186.45
east,11,26.55000000000001,14.75,0.79,3.4000000000000004,0.0,99.7,48.5,0.011170000000000001,18.1,19.400000000000002,22.0,22.0,4.0,2.9000000000000004,158.20000000000002
