path,words,dominant_category,Code and data engineering,Analysis and statistics,Visualization and figures,Manuscript drafting and revision,"Review, critique, and response",Citations and compliance,Testing and reproducibility,Documentation and handoff
analysis/climate_data_inventory.md,747,Code and data engineering,14,2,2,5,0,1,0,0
analysis/climate_limits_report.md,194,Code and data engineering,2,0,2,0,0,0,0,0
analysis/climate_model_report.md,564,Analysis and statistics,0,4,0,1,1,1,0,0
analysis/climate_revision_terminal_summary.txt,172,Analysis and statistics,0,3,3,0,0,0,0,0
analysis/climate_section_decision.md,477,Analysis and statistics,1,5,1,0,2,1,0,0
analysis/developmental_response_dictionary.md,399,Visualization and figures,0,0,2,2,2,0,0,0
analysis/figure_restructure_plan.md,284,Code and data engineering,16,10,15,0,0,0,1,2
analysis/figure_text_alignment.md,391,Visualization and figures,1,7,8,0,1,0,1,2
analysis/final_terminal_report.txt,236,Visualization and figures,0,3,4,1,0,0,3,0
analysis/main_figure_restructure_plan.md,128,Analysis and statistics,0,4,4,0,0,0,0,1
analysis/manuscript_claim_audit.md,483,Analysis and statistics,2,9,2,6,2,0,1,0
analysis/null_model_report.md,410,Analysis and statistics,1,7,2,1,1,0,0,0
analysis/pc1_robustness_report.md,4156,Analysis and statistics,1,2,0,0,0,0,0,0
analysis/prediction_section_decision.md,346,Analysis and statistics,0,5,0,1,2,0,2,0
analysis/state_dependent_climate_report.md,339,Analysis and statistics,0,7,1,0,1,0,0,0
analysis/summary_vase_methods.md,238,Visualization and figures,2,5,10,1,0,0,0,0
analysis/vase_visual_grammar.md,128,Visualization and figures,0,2,10,1,0,2,0,0
archive/manuscript_history/README.md,64,Documentation and handoff,0,0,1,3,2,3,0,4
archive/manuscript_history/fire_vase_developmental_morphology/citation_audit_2026-07-22.md,874,Citations and compliance,13,19,6,12,2,38,1,1
archive/manuscript_history/fire_vase_developmental_morphology/climate_revision_science_citation_audit_2026-07-22.md,725,Citations and compliance,12,7,3,10,0,28,1,2
archive/manuscript_history/fire_vase_developmental_morphology/climate_revision_science_compliance_2026-07-22.md,433,Visualization and figures,4,0,22,16,0,7,0,3
archive/manuscript_history/fire_vase_developmental_morphology/formal_reviews_climate_revision_round_2.md,790,Manuscript drafting and revision,1,10,7,19,6,1,0,2
archive/manuscript_history/fire_vase_developmental_morphology/formal_reviews_climate_revision_round_3.md,605,Manuscript drafting and revision,1,10,3,16,6,6,0,0
archive/manuscript_history/fire_vase_developmental_morphology/formal_reviews_round_1.md,1069,Manuscript drafting and revision,11,22,16,26,10,1,3,0
archive/manuscript_history/fire_vase_developmental_morphology/formal_reviews_round_2.md,424,Analysis and statistics,2,15,15,6,4,0,1,0
archive/manuscript_history/fire_vase_developmental_morphology/formal_reviews_round_3.md,607,Visualization and figures,1,11,20,11,4,1,2,0
archive/manuscript_history/fire_vase_developmental_morphology/manuscript_audited_revision.md,1189,Analysis and statistics,7,20,16,6,0,0,3,4
archive/manuscript_history/fire_vase_developmental_morphology/manuscript_stage_1_narrative.md,3232,Visualization and figures,36,45,57,21,2,19,1,4
archive/manuscript_history/fire_vase_developmental_morphology/manuscript_stage_2_citation_revised_narrative.md,3061,Visualization and figures,12,47,48,16,0,19,3,4
archive/manuscript_history/fire_vase_developmental_morphology/science_author_guidelines_compliance.md,319,Citations and compliance,4,3,8,9,2,10,0,1
docs/code-map.md,404,Code and data engineering,35,3,12,6,0,0,1,7
docs/data.md,340,Code and data engineering,43,1,10,3,0,2,2,8
docs/datasets/fired.md,322,Code and data engineering,23,1,3,3,0,3,0,4
docs/dev/fire_vase_lakehouse.md,594,Code and data engineering,45,0,21,1,0,1,2,3
docs/examples.md,92,Documentation and handoff,5,0,5,0,0,0,1,13
docs/index.md,556,Code and data engineering,28,8,19,10,0,0,0,10
docs/manuscripts/fire_vase_developmental_morphology/ai_transparency_report.md,1010,Code and data engineering,41,22,38,18,14,17,9,25
docs/manuscripts/fire_vase_developmental_morphology/ai_transparency_statement.md,529,Visualization and figures,26,9,31,10,9,9,3,11
docs/manuscripts/fire_vase_developmental_morphology/final_citation_check_2026-07-23.md,404,Citations and compliance,7,4,2,7,0,15,0,1
docs/manuscripts/fire_vase_developmental_morphology/manuscript_climate_revision.md,1727,Visualization and figures,16,15,21,5,3,10,0,0
docs/manuscripts/fire_vase_developmental_morphology/manuscript_climate_revision_science_style.md,4332,Code and data engineering,84,46,54,13,9,29,1,11
docs/methods.md,329,Code and data engineering,36,7,7,7,0,1,0,2
docs/migration.md,295,Visualization and figures,14,3,15,5,1,2,1,7
docs/reproduce-data-lake.md,471,Code and data engineering,55,3,5,4,0,0,4,6
docs/reproduce-figures.md,349,Code and data engineering,30,7,21,2,0,1,2,0
docs/vignette-reproduce-pipeline.md,831,Code and data engineering,86,15,27,14,0,1,5,8
figures/climate_revision_main/figure_legends.md,909,Visualization and figures,3,11,20,1,0,0,0,3
figures/main/README.md,343,Code and data engineering,17,16,16,1,1,0,1,0
figures/main/figure_data_dictionary.md,2064,Visualization and figures,34,106,198,0,0,0,0,0
figures/main/figure_legends.md,945,Visualization and figures,2,24,26,0,0,1,2,2
figures/main/statistical_validation.md,559,Analysis and statistics,2,27,14,0,0,2,1,0
figures/main_audited/figure_legends.md,255,Visualization and figures,0,7,16,0,0,0,1,1
manuscript_figures/README.md,637,Code and data engineering,65,18,63,2,0,0,0,3
scripts/README.md,414,Code and data engineering,37,14,27,11,0,1,4,3
