model,fold_kind,fold,target,n_train,n_test,r2,predictors
climate predicts morphology,random,0,morph_pc1,189905,47330,0.5158897353415441,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,random,0,morph_pc2,189905,47330,0.058663809970054714,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,random,0,morph_pc3,189905,47330,0.0010234823783262792,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,random,1,morph_pc1,189881,47354,0.5082693237813494,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,random,1,morph_pc2,189881,47354,0.06031682999053645,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,random,1,morph_pc3,189881,47354,0.0008040128403706825,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,random,2,morph_pc1,189783,47452,0.5090267996610708,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,random,2,morph_pc2,189783,47452,0.061637948097430506,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,random,2,morph_pc3,189783,47452,0.0003536432972307546,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
climate predicts morphology,random,3,morph_pc1,189489,47746,0.5130739873403415,"mean_maximum_temperature_c,mean_minimum_temperature_c,mean_vpd_kpa,max_vpd_kpa,mean_wind_speed_m_s,wind_present_fraction"
