fire_id,final_area_km2,observation_count,observed_duration_days,candidate_event_window_days,number_of_active_observations,active_fraction,peak_expansion_magnitude_km2,timing_of_peak_expansion_relative_age,final_meaningful_expansion_relative_age,number_of_expansion_pulses,pulse_prominence_km2,pulse_duration_observations,median_inter_pulse_interval_observations,amount_of_growth_in_largest_pulse_km2,fraction_final_area_accumulated_before_peak,fraction_final_area_accumulated_during_largest_pulse,fraction_final_area_accumulated_after_final_major_pulse,quiescent_persistence_observations,reactivation_count,terminal_taper_fraction_of_peak,growth_asymmetry_decline_minus_rise_km2,geometric_trajectory_length_km2,space_time_volume_km2_days,maximum_vase_width_km,mean_compactness,max_gap_days,terminal_observed_record_lag_after_final_meaningful_expansion_observations,terminal_observed_record_lag_after_final_meaningful_expansion_days,selected_profile
961,48.72751883838807,21,24.0,25,7,0.3333333333333333,8.801005605171412,0.2916666666666667,0.625,4,7.2983948920933654,4,3.0,8.801005605171412,1.0,0.1806167400881057,0.0,6,0,0.024390243902439025,1.073293366484319,36.27731578716997,1169.4604521213134,18.99782137764618,0.2636420885158725,2,6,9.0,Profile B
1221,1.502610713078046,5,13.0,14,5,1.0,0.6439760198905912,0.0,1.0,4,0.42931734659372744,4,1.0,0.6439760198905912,1.0,0.4285714285714286,0.0,0,0,0.3333333333333333,0.42931734659372744,0.42931734659372744,19.533939270014596,0.9286254330566153,0.7462972259172891,4,0,0.0,Profile B
2243,8.371688258577684,12,18.0,19,7,0.5833333333333334,1.7172693863749096,0.16666666666666666,0.8333333333333334,3,1.2879520397811821,3,3.5,1.7172693863749096,1.0,0.20512820512820512,0.0,2,0,0.125,0.0,4.293173465937273,150.6903886543983,3.2451890156967567,0.4689468069999392,2,2,3.0,Profile B
2490,12.66486172451496,5,6.0,7,2,0.4,8.15702958528082,0.5,0.8333333333333334,1,7.083736218796502,1,,8.15702958528082,1.0,0.6440677966101694,0.0,1,0,0.07894736842105264,-0.2146586732968636,15.240765804077324,75.98917034708975,5.561752598334103,0.3711984407401527,2,1,1.0,Profile B
2702,1.7172693863749096,5,12.0,13,5,1.0,0.8586346931874548,0.3333333333333333,1.0,3,0.6439760198905911,3,2.0,0.8586346931874548,1.0,0.5,0.0,0,0,0.25,0.0,1.2879520397811821,20.607232636498914,1.8552508661132305,0.6796177032182207,5,0,0.0,Profile B
4971,2.146586732968637,5,9.0,10,5,1.0,0.6439760198905912,0.0,1.0,3,0.21465867329686378,3,2.0,0.6439760198905912,1.0,0.30000000000000004,0.0,0,0,0.3333333333333333,0.42931734659372744,0.858634693187455,19.319280596717732,2.318563582640141,0.647284133910377,4,0,0.0,Profile B
6007,14.811448457483596,6,5.0,6,1,0.16666666666666666,9.87429897165573,1.0,1.0,2,8.586346931874548,2,3.0,9.87429897165573,1.0,0.6666666666666666,0.0,0,0,1.0,-8.586346931874548,12.450203051218095,74.05724228741798,10.658192480139434,0.37111834622076983,1,0,0.0,Profile B
6262,4.937149485827865,5,5.0,6,2,0.4,2.7905627528592283,0.4,0.6,1,2.146586732968637,1,,2.7905627528592283,1.0,0.5652173913043479,0.0,1,0,0.07692307692307691,0.0,5.151808159124729,24.685747429139326,5.0984398818109185,0.5359475478654898,2,1,2.0,Profile B
6474,111.62251011436912,8,10.0,11,3,0.375,42.502417312779016,0.7,0.7,1,38.53123185678704,1,,42.502417312779016,1.0,0.3807692307692308,0.0,3,0,0.00505050505050505,0.6439760198905873,84.36085860566745,1116.2251011436913,13.438068779313937,0.27827811770293115,3,3,3.0,Profile B
6982,2.361245406265501,5,7.0,8,3,0.6,1.0732933664843187,0.42857142857142855,0.7142857142857143,1,0.6439760198905913,1,,1.0732933664843187,1.0,0.4545454545454546,0.0,1,0,0.19999999999999996,0.0,1.7172693863749098,16.52871784385851,2.3185635826420037,0.5966104861583194,2,1,2.0,Profile B
