fire_id,event_type,observation_index,calendar_date,relative_position_observed_sequence,activity_metric,activity_magnitude,activity_relative_to_peak,confidence_or_robustness,methods_supporting_event,threshold_fixed_abs_km2,threshold_within_fire_percentile_km2,threshold_fraction_peak_km2,terminal_observed_record_is_physical_extinction
961,first observed perimeter,0,2001-01-12,0.0,newly_added_area_km2,1.2879520397811823,0.14634146341463417,observed,,0.1,3.649197446046683,2.200251401292853,False
961,expansion pulse,4,2001-01-16,0.16666666666666666,newly_added_area_km2,4.293173465937275,0.4878048780487806,4/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,3.649197446046683,2.200251401292853,False
961,expansion pulse,7,2001-01-19,0.2916666666666667,newly_added_area_km2,8.801005605171412,1.0,4/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,3.649197446046683,2.200251401292853,False
961,peak expansion,7,2001-01-19,0.2916666666666667,newly_added_area_km2,8.801005605171412,1.0,observed maximum geometric activity,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,3.649197446046683,2.200251401292853,False
961,expansion pulse,11,2001-01-24,0.5,newly_added_area_km2,6.225101525609047,0.7073170731707317,4/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,3.649197446046683,2.200251401292853,False
961,expansion pulse,14,2001-01-27,0.625,newly_added_area_km2,2.5759040795623647,0.29268292682926833,2/4 threshold methods,"fixed_absolute,fraction_of_peak",0.1,3.649197446046683,2.200251401292853,False
961,final meaningful expansion,14,2001-01-27,0.625,newly_added_area_km2,2.5759040795623647,0.29268292682926833,threshold-defined final active observation,"fixed_absolute,fraction_of_peak",0.1,3.649197446046683,2.200251401292853,False
961,transition into geometric quiescence,15,2001-01-29,0.7083333333333334,newly_added_area_km2,0.8586346931874548,0.0975609756097561,rule-based sustained low activity,,0.1,3.649197446046683,2.200251401292853,False
961,terminal observed record,20,2001-02-05,1.0,newly_added_area_km2,0.2146586732968637,0.024390243902439025,dataset-observed ending; not physical extinction,,0.1,3.649197446046683,2.200251401292853,False
1221,expansion pulse,0,2001-01-27,0.0,newly_added_area_km2,0.6439760198905912,1.0,3/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak",0.1,0.2146586732968637,0.1609940049726478,False
1221,first observed perimeter,0,2001-01-27,0.0,newly_added_area_km2,0.6439760198905912,1.0,observed,,0.1,0.2146586732968637,0.1609940049726478,False
1221,peak expansion,0,2001-01-27,0.0,newly_added_area_km2,0.6439760198905912,1.0,observed maximum geometric activity,"fixed_absolute,within_fire_percentile,fraction_of_peak",0.1,0.2146586732968637,0.1609940049726478,False
1221,expansion pulse,2,2001-02-03,0.5384615384615384,newly_added_area_km2,0.2146586732968637,0.3333333333333333,3/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak",0.1,0.2146586732968637,0.1609940049726478,False
1221,expansion pulse,3,2001-02-06,0.7692307692307693,newly_added_area_km2,0.2146586732968637,0.3333333333333333,3/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak",0.1,0.2146586732968637,0.1609940049726478,False
1221,expansion pulse,4,2001-02-09,1.0,newly_added_area_km2,0.2146586732968637,0.3333333333333333,3/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak",0.1,0.2146586732968637,0.1609940049726478,False
1221,final meaningful expansion,4,2001-02-09,1.0,newly_added_area_km2,0.2146586732968637,0.3333333333333333,threshold-defined final active observation,"fixed_absolute,within_fire_percentile,fraction_of_peak",0.1,0.2146586732968637,0.1609940049726478,False
1221,terminal observed record,4,2001-02-09,1.0,newly_added_area_km2,0.2146586732968637,0.3333333333333333,dataset-observed ending; not physical extinction,,0.1,0.2146586732968637,0.1609940049726478,False
2243,first observed perimeter,0,2001-03-11,0.0,newly_added_area_km2,0.2146586732968637,0.125,observed,,0.1,0.9659640298358867,0.4293173465937274,False
2243,expansion pulse,2,2001-03-14,0.16666666666666666,newly_added_area_km2,1.7172693863749096,1.0,4/4 threshold methods,"fixed_absolute,within_fire_percentile,fraction_of_peak,prominence",0.1,0.9659640298358867,0.4293173465937274,False
