variable,PC1_loading,PC2_loading
final_area_km2,-0.38629190496930177,-0.18573613325149854
observed_duration_days,-0.23980823987549463,-0.3046586507205934
active_fraction,0.26277022862406985,-0.39285013495278026
peak_expansion_magnitude_km2,-0.3756003918758133,-0.07828400313143181
timing_of_peak_expansion_relative_age,-0.06498835225103818,0.004390452414123313
final_meaningful_expansion_relative_age,0.17296739994832586,-0.4612006604410516
number_of_expansion_pulses,0.09757244278702762,-0.4826655803577135
terminal_taper_fraction_of_peak,0.19827091178177872,-0.3555005706719511
geometric_trajectory_length_km2,-0.38027957057237394,-0.18611526473905823
space_time_volume_km2_days,-0.3571821918768123,-0.24944897693691123
maximum_vase_width_km,-0.3890403103714659,-0.05699711033978161
mean_compactness,0.2768207873492187,-0.20010293286843459
