fire_id,from_state,to_state
961,low activity,low activity
961,low activity,low activity
961,low activity,low activity
961,low activity,active expansion
961,active expansion,low activity
961,low activity,major expansion
961,major expansion,major expansion
961,major expansion,active expansion
961,active expansion,active expansion
961,active expansion,low activity
961,low activity,major expansion
961,major expansion,low activity
961,low activity,low activity
961,low activity,active expansion
961,active expansion,quiescence
961,quiescence,quiescence
961,quiescence,quiescence
961,quiescence,quiescence
961,quiescence,quiescence
961,quiescence,quiescence
961,quiescence,terminal observed record
1221,major expansion,active expansion
1221,active expansion,active expansion
1221,active expansion,active expansion
1221,active expansion,active expansion
1221,active expansion,terminal observed record
2243,low activity,active expansion
2243,active expansion,major expansion
2243,major expansion,major expansion
2243,major expansion,major expansion
2243,major expansion,major expansion
2243,major expansion,active expansion
2243,active expansion,low activity
2243,low activity,low activity
2243,low activity,major expansion
2243,major expansion,quiescence
2243,quiescence,quiescence
2243,quiescence,terminal observed record
2490,low activity,low activity
2490,low activity,major expansion
2490,major expansion,active expansion
2490,active expansion,quiescence
2490,quiescence,terminal observed record
2702,active expansion,active expansion
2702,active expansion,major expansion
2702,major expansion,active expansion
2702,active expansion,active expansion
2702,active expansion,terminal observed record
4971,major expansion,major expansion
4971,major expansion,major expansion
4971,major expansion,active expansion
4971,active expansion,active expansion
4971,active expansion,terminal observed record
6007,low activity,low activity
6007,low activity,low activity
6007,low activity,low activity
6007,low activity,low activity
6007,low activity,major expansion
6007,major expansion,terminal observed record
6262,low activity,low activity
6262,low activity,major expansion
6262,major expansion,active expansion
6262,active expansion,quiescence
6262,quiescence,terminal observed record
6474,low activity,low activity
6474,low activity,active expansion
6474,active expansion,major expansion
6474,major expansion,major expansion
6474,major expansion,quiescence
6474,quiescence,quiescence
6474,quiescence,quiescence
6474,quiescence,terminal observed record
6982,low activity,active expansion
6982,active expansion,major expansion
6982,major expansion,active expansion
6982,active expansion,quiescence
6982,quiescence,terminal observed record
7439,low activity,major expansion
7439,major expansion,active expansion
7439,active expansion,quiescence
7439,quiescence,quiescence
7439,quiescence,terminal observed record
8264,low activity,low activity
8264,low activity,low activity
8264,low activity,low activity
8264,low activity,active expansion
8264,active expansion,major expansion
8264,major expansion,active expansion
8264,active expansion,quiescence
8264,quiescence,terminal observed record
8330,low activity,low activity
8330,low activity,active expansion
8330,active expansion,active expansion
8330,active expansion,low activity
8330,low activity,low activity
8330,low activity,major expansion
8330,major expansion,active expansion
8330,active expansion,active expansion
8330,active expansion,active expansion
8330,active expansion,low activity
8330,low activity,active expansion
8330,active expansion,active expansion
8330,active expansion,quiescence
8330,quiescence,quiescence
8330,quiescence,quiescence
8330,quiescence,terminal observed record
9549,major expansion,major expansion
9549,major expansion,major expansion
9549,major expansion,major expansion
9549,major expansion,major expansion
