fire_id,final_area_km2,observation_count,observed_duration_days,candidate_event_window_days,number_of_active_observations,active_fraction,peak_expansion_magnitude_km2,timing_of_peak_expansion_relative_age,final_meaningful_expansion_relative_age,number_of_expansion_pulses,pulse_prominence_km2,pulse_duration_observations,median_inter_pulse_interval_observations,amount_of_growth_in_largest_pulse_km2,fraction_final_area_accumulated_before_peak,fraction_final_area_accumulated_during_largest_pulse,fraction_final_area_accumulated_after_final_major_pulse,quiescent_persistence_observations,reactivation_count,terminal_taper_fraction_of_peak,growth_asymmetry_decline_minus_rise_km2,geometric_trajectory_length_km2,space_time_volume_km2_days,maximum_vase_width_km,mean_compactness,max_gap_days,terminal_observed_record_lag_after_final_meaningful_expansion_observations,terminal_observed_record_lag_after_final_meaningful_expansion_days,selected_profile
2445,4.937149485827865,8,13.0,14,3,0.375,1.9319280596717732,0.5384615384615384,0.8461538461538461,2,1.6099400497264775,2,2.0,1.9319280596717732,1.0,0.391304347826087,0.0,2,0,0.11111111111111112,0.0,5.1518081591247284,64.18294331576226,4.171814448753372,0.5314860560990711,5,2,2.0,Profile B
6833,120.42351571954052,13,13.0,14,3,0.23076923076923078,50.8741055713567,0.46153846153846156,0.5384615384615384,1,49.15683618498179,1,,50.8741055713567,1.0,0.4224598930481284,0.0,6,0,0.004219409282700422,0.0,102.17752848930714,1565.5057043540269,23.6309485429246,0.2964191512550892,2,6,6.0,Profile A
6991,26.83233416210796,12,13.0,14,4,0.3333333333333333,9.87429897165573,0.46153846153846156,0.46153846153846156,2,8.801005605171412,2,2.0,9.87429897165573,1.0,0.36800000000000005,0.0,5,0,0.043478260869565216,-0.2146586732968636,19.533939270014596,348.8203441074035,6.9516907479166985,0.3551587452648075,3,5,7.0,Profile B
7115,13.094179071108686,11,13.0,14,2,0.18181818181818182,5.581125505718457,0.38461538461538464,0.8461538461538461,2,5.151808159124729,2,5.0,5.581125505718457,1.0,0.42622950819672134,0.0,2,0,0.03846153846153846,0.2146586732968636,17.38735253704596,170.22432792441296,6.48837803139165,0.4473687967849195,2,2,2.0,Profile B
7149,13.30883774440555,9,13.0,14,2,0.2222222222222222,6.225101525609047,0.38461538461538464,1.0,2,5.581125505718457,2,5.0,6.225101525609047,1.0,0.467741935483871,0.0,0,0,0.4137931034482759,-2.361245406265501,14.382131110889867,173.01489067727215,7.415003464447334,0.46431912703931477,3,0,0.0,Profile B
7421,5.151808159124729,8,13.0,14,6,0.75,1.0732933664843187,0.15384615384615385,1.0,4,0.42931734659372767,4,1.0,1.0732933664843187,1.0,0.20833333333333334,0.0,0,0,0.3999999999999999,0.0,2.5759040795623642,66.97350606862148,2.318563582640141,0.5201754463915234,3,0,0.0,Profile B
7508,6.869077545499638,8,13.0,14,5,0.625,1.9319280596717732,0.07692307692307693,0.8461538461538461,2,1.2879520397811821,2,4.0,1.9319280596717732,1.0,0.28125,0.0,1,0,0.22222222222222224,0.0,4.722490812531001,89.29800809149529,3.2451890156958254,0.3705060560517619,3,1,2.0,Profile B
16331,8.15702958528082,10,13.0,14,3,0.3,3.434538772749819,0.0,0.38461538461538464,3,3.005221426156092,3,2.5,3.434538772749819,1.0,0.42105263157894735,0.0,4,0,0.0625,3.2198800994529555,6.225101525609047,106.04138460865067,4.171814448751509,0.47470408047382123,3,4,8.0,Profile B
17532,6.439760198905911,7,13.0,14,2,0.2857142857142857,3.434538772749819,0.3076923076923077,0.6153846153846154,1,3.2198800994529555,1,,3.434538772749819,1.0,0.5333333333333333,0.0,2,0,0.0625,0.0,6.43976019890591,83.71688258577684,4.6351271652765575,0.5983626341647007,4,2,5.0,Profile B
17903,5.151808159124729,5,13.0,14,2,0.4,2.7905627528592283,0.7692307692307693,0.7692307692307693,2,2.146586732968637,2,2.0,2.7905627528592283,1.0,0.5416666666666666,0.0,1,0,0.15384615384615383,-0.2146586732968636,5.795784179015321,66.97350606862148,2.7818762991689145,0.4731123680840704,4,1,3.0,Profile B
18606,1.7172693863749096,7,13.0,14,7,1.0,0.4293173465937274,0.38461538461538464,1.0,5,0.2146586732968637,5,1.5,0.4293173465937274,1.0,0.25,0.0,0,0,0.5,0.0,0.4293173465937274,22.324502022873826,1.3919381495844574,0.7292982945833447,4,0,0.0,Profile B
19752,10.518274991546322,11,13.0,14,7,0.6363636363636364,2.361245406265501,0.3076923076923077,0.6923076923076923,4,1.5026107130780462,4,2.0,2.361245406265501,1.0,0.22448979591836735,0.0,2,0,0.1818181818181818,-0.21465867329686383,8.371688258577684,136.7375748901022,6.48837803139165,0.4353650372508888,2,2,4.0,Profile B
22518,261.23960540228313,14,13.0,14,6,0.42857142857142855,65.47089535554343,0.07692307692307693,0.6923076923076923,4,50.230129551466106,4,3.0,65.47089535554343,1.0,0.25061626951520133,0.0,4,0,0.009836065573770493,2.146586732968643,243.4229355186434,3396.1148702296796,46.33327165279351,0.13219541313515107,1,4,4.0,Profile A
22615,3.2198800994529555,6,13.0,14,2,0.3333333333333333,1.2879520397811823,0.5384615384615384,0.5384615384615384,1,1.0732933664843187,1,,1.2879520397811823,1.0,0.4,0.0,3,0,0.16666666666666666,0.0,2.146586732968637,41.85844129288842,2.318563582640141,0.5962320105258175,5,3,6.0,Profile B
23942,2.5759040795623647,8,13.0,14,8,1.0,0.8586346931874548,0.0,1.0,6,0.6439760198905911,6,1.0,0.8586346931874548,1.0,0.3333333333333333,0.0,0,0,0.25,0.6439760198905911,0.6439760198905911,33.48675303431074,1.3919381495844574,0.6821370753451044,4,0,0.0,Profile B
24184,3.434538772749819,7,13.0,14,7,1.0,0.6439760198905912,0.0,1.0,4,0.0,4,1.0,0.6439760198905912,1.0,0.18750000000000003,0.0,0,0,0.3333333333333333,0.42931734659372744,1.2879520397811823,44.649004045747645,1.39193814958632,0.5540173572150947,3,0,0.0,Profile B
