fire_id,anchor_event_type,anchor_observation_index,lag_observations,lag_days,activity_value,developmental_state,tmmx_c,tmmx_c_z_within_fire,tmmx_c_change,tmmn_c,tmmn_c_z_within_fire,tmmn_c_change,vpd_kpa,vpd_kpa_z_within_fire,vpd_kpa_change,wind_speed_m_s,wind_speed_m_s_z_within_fire,wind_speed_m_s_change
2445,first observed perimeter,0,0,0.0,0.2146586732968637,low activity,20.150000000000034,-1.8344984642633466,,5.25,-1.5245734893157268,,0.79,-1.2442276022419736,,3.5,-0.37546524875458975,
2445,first observed perimeter,0,1,5.0,0.4293173465937274,low activity,25.950000000000045,1.2055275622302175,5.800000000000011,13.550000000000011,1.4182078970378769,8.300000000000011,1.01,0.16857277191665448,0.21999999999999997,1.8,-1.7555537306633513,-1.7
2445,first observed perimeter,0,2,7.0,1.9319280596717732,major expansion,23.75,0.0524142418360854,-2.2000000000000455,8.950000000000045,-0.21273118455567233,-4.599999999999966,0.79,-1.2442276022419736,-0.21999999999999997,3.0,-0.7813736257865784,1.2
2445,first observed perimeter,0,3,9.0,0.2146586732968637,low activity,21.75,-0.9958705948858312,-2.0,11.150000000000034,0.5672831588151572,2.1999999999999886,0.8300000000000001,-0.9873548069404046,0.040000000000000036,3.4000000000000004,-0.45664692416098723,0.40000000000000036
2445,expansion pulse,2,-2,-7.0,0.2146586732968637,low activity,20.150000000000034,-1.8344984642633466,,5.25,-1.5245734893157268,,0.79,-1.2442276022419736,,3.5,-0.37546524875458975,
2445,expansion pulse,2,-1,-2.0,0.4293173465937274,low activity,25.950000000000045,1.2055275622302175,5.800000000000011,13.550000000000011,1.4182078970378769,8.300000000000011,1.01,0.16857277191665448,0.21999999999999997,1.8,-1.7555537306633513,-1.7
2445,expansion pulse,2,0,0.0,1.9319280596717732,major expansion,23.75,0.0524142418360854,-2.2000000000000455,8.950000000000045,-0.21273118455567233,-4.599999999999966,0.79,-1.2442276022419736,-0.21999999999999997,3.0,-0.7813736257865784,1.2
2445,expansion pulse,2,1,2.0,0.2146586732968637,low activity,21.75,-0.9958705948858312,-2.0,11.150000000000034,0.5672831588151572,2.1999999999999886,0.8300000000000001,-0.9873548069404046,0.040000000000000036,3.4000000000000004,-0.45664692416098723,0.40000000000000036
2445,expansion pulse,2,2,3.0,1.0732933664843187,major expansion,22.55000000000001,-0.5765566601970585,0.8000000000000114,7.75,-0.6381935536670522,-3.400000000000034,1.0,0.10435457309126223,0.16999999999999993,4.6000000000000005,0.5175331807157857,1.2000000000000002
2445,expansion pulse,2,3,4.0,0.6439760198905912,active expansion,24.150000000000034,0.2620712091804866,1.6000000000000227,6.25,-1.170021515056257,-1.5,1.07,0.553881964869008,0.07000000000000006,5.300000000000001,1.0858049085605699,0.7000000000000002
